State,Name,URL
California,"United Venture Regional Center, LLC",
California,US Commercial Regional Center,
California,United States Employment Development Lending Center,
California,"USA Continental Regional Center, LLC",
California,Velocity Regional Center,
California,YK America Regional Center LLC,
Colorado,"Colorado Intercontinental Regional Center, LLC Stephen S. Smith c/o Evergreen Land Co.",
Colorado,"Colorado Regional Center, LLC",
Colorado,Invest U.S. Regional Center,
Colorado,Rocky Mountain High Regional Center,
District of Columbia,Anacostia Regional Center,
District of Columbia,Capital Area Regional Center (CARC) ,
District of Columbia,DC Regional Center,
District of Columbia,Westmill Mid-Atlantic Regional Center LLC,
Florida,"American Life Investments, LLC",
Florida,America's Center for Foreign Investment,
Florida,American Opportunity Regional Center LLC,
Florida,"BirchLEAF Miami 31, LLC Regional Center",
Florida,Charlotte Harbor Regional Center,
Florida,Florida EB5 Investments LLC Regional Center ,
Florida,"Florida EB-5 Regional Center, LLC;",
Florida,"Florida Equity & Growth Fund Regional Center, LLC",
Florida,Florida Overseas Investment Center RC,
Florida,"Florida Regional Center, LLC",
Florida,Gold Coast Florida Regional Center,
Florida,Hollywood Beach Regional Center LLC   ,
Florida,Lake Buena Vista RC,
Florida,The Lake Point EcoVentures Regional Center   ,
Florida,Mirzam Investor Green Card Regional Center ,
Florida,"Regional Center of South Florida, LLC",
Florida,Palm Beach RC,
Florida,Palm Coast Florida Regional Center,
Florida,South Atlantic Regional Center (SARC)  ,
Florida,South Florida Investment Regional Center (SFIRC),
Georgia,America's Center for Foreign Investment,
Georgia,Atlanta EB5 Regional Center LLC,
Georgia,Georgia Center for Foreign Investment and Development,
Georgia,"Georgia Regional Center, LLC  ",
Georgia,Middle Georgia Regional Center,
Georgia,Southeast Regional Center LLC  ,
Guam,Guam Strategic Development LLC RC,
Hawaii,"Aloha Regional Center, LLC",
Hawaii,"EB-5 Jobs for Hawaii, LLC",
Hawaii,Golden Pacific Ventures Regional Center,
Hawaii,Hawaii Regional Center,
Hawaii,Hawaiian Islands Regional Center LLC   ,
Idaho,Idaho State Regional Center LLC,
Idaho,Invest Idaho Regional Center,
Illinois,Chicagoland Foreign Investment Group (CFIG) Regional Center,
Illinois,Intercontinental Regional Center Trust of Chicago,
Illinois,LaSalle County Business Development Center (LCBDC),
Illinois,Local Government Regional Center of Illinois,
Illinois,US HITEC Regional Center,
Indiana,Energize-ECI EB-5 Visa Regional Center,
Indiana,Chicagoland Foreign Investment Group (CFIG) Regional Center,
Indiana,"Midwest Center for Foreign Investment, LLC ",
Iowa,Iowa Department of Economic Development (IDED),
Kansas,1900 Gulf Street Partners Regional Center,
Kansas,"Kansas Bio-Fuel RC, LLC",
Kansas,Kansas Regional Center,
Kentucky,"Midwest Center for Foreign Investment, LLC",
Kentucky,Midwest EB-5 Regional Center LLC,
Louisiana,Gulf Coast Regional Investment Center LLC,
Louisiana,Louisiana Mississippi Regional Center,
Louisiana,Luca Energy Fund Regional Center ,
Louisiana,New Orleans' Mayor's Office RC,
Maine,USA Lifestyles Regional Center,
Maryland,Capital Area Regional Center (CARC) ,
Maryland,DC Regional Center,
Maryland,"Maryland Center for Foreign Investment, LLC",
Maryland,Oriental Dolphin EB-5 Regional Center,
Maryland,Westmill Mid-Atlantic Regional Center LLC,
Massachussets,"EB-5 Jobs for Massachusetts, Inc.",
Michigan,Detroit Immigrant Investor Regional Center    ,
Michigan,"EB-5, MRC LLC",
Michigan,"Green Detroit Regional Center, LLC",
Michigan,International Michigan Investments Regional Center,
Michigan,Lansing Economic Development Corporation (LEDC) Regional Center,
Michigan,Tucker Development Corporation Regional Center  ,
Minnesota,UND Center for Innovation Foundation Regional Center,
Mississippi,America's Center for Foreign Investment,
Mississippi,"Gulf Coast Funds Management, LLC",
Mississippi,Louisiana Mississippi Regional Center,
Mississippi,Gulf Coast Regional Investment Center LLC,
Mississippi,"Mississippi Development Center, LLC",
Missouri,1900 Gulf Street Partners Regional Center,
Missouri,MAMTEK Regional Center,
Montana,Northern Rockies Regional Center,
Nevada,Clark County Regional Center,
Nevada,Geothermal Regional Center LLC,
Nevada,"Las Vegas EB-5 Inmigration, LLC",
Nevada,"Las Vegas Economic Impact Regional Center, LLC",
Nevada,Las Vegas Regional Center ,
Nevada,Nevada California Regional Center ,
Nevada,Nevada Regional Economic Development Center (NREDC),
Nevada,"Northern California Regional Center, LLC ",
New Hampshire,New Hampshire EB-5 Regional Center,
New Jersey,"New Jersey Liberty Regional Center, LLC",
New Jersey,"New Jersey Regional Center, LLC",
New Jersey,"New York City Real Estate Regional Center, LLC",
New York,Buffalo Regional Center,
New York,"EB-5 New York State, LLC",
New York,Empire State EB-5 Regional Center,
New York,Extell New York Regional Center,
New York,Federal New York Metropolitan Regional Center,
New York,"Manhattan Regional Center, LLC",
New York,"New York City Real Estate Regional Center, LLC",
New York,"New York City Regional Center, LLC",
New York,"New York Immigration Fund, LLC ",
New York,"New York Proton Regional Center, LLC",
New York,North Country EB-5 Regional Center LLC  ,
New York,NYC Metro Regional Center LLC,
North Carolina,"Atlantic Regional Center for Foreign Investment, LLC (ARCFi) ",
North Carolina,Carolina Center for Foreign Investment RC,
North Carolina,"North Carolina Center for Foreign Investments, LLC",
North Carolina,"Tennessee Regional Center, LLC ",
North Dakota,UND Center for Innovation Foundation Regional Center,
Ohio,"Cleveland International Fund, Ltd",
Ohio,CMB Summit LLC RC,
Ohio,Midwest EB-5 Regional Center LLC,
Ohio,Northeast Ohio Regional Center,
Ohio,Ohio Development Regional Center,
Oklahoma,"South West Biofuel RC, LLC (SWBRC)",
Oklahoma,"Southern Star Regional Investment Center, LLC",
Oregon,American Life Inc. Regional Center - Seattle (Golden Rainbow & Gateway  Freedom Fund,
Oregon,American United EB-5 Regional Center,
Oregon,Portland Regional Center,
Pennsylvania,Empire State EB-5 Regional Center,
Pennsylvania,Pennsylvania Department of Community and Economic Development Regional Center,
Pennsylvania,Pittsburg Regional Investement Center LLC,
Pennsylvania,Philadelphia Industrial Development Corporation (PIDC) Regional Center,
South Carolina,Carolina Center for Foreign Investment RC,
South Dakota,South Dakota International Business Institute (SDIBI),
Tennessee,America's Center for Foreign Investment,
Tennessee,"Tennessee Regional Center, LLC",
Texas,820 Industrial Loop Partners Regional Center,
Texas,Brooks City-Base Regional Center,
Texas,City of Dallas RC (CDRC),
Texas,CP Regional Center Inc,
Texas,Crown Point Regional Center  ,
Texas,DC Partners Regional Center,
Texas,Global Century (Houston),
Texas,"Great Texas Regional Center, LLC",
Texas,"Great Southwest Regional Center, LLc",
Texas,"Lone Star Regional Center, LLC",
Texas,Luca Energy Fund Regional Center  ,
Texas,McAllen EB-5 Regional Center,
Texas,North Texas EB-5 Regional Center LLC ,
Texas,"South West Biofuel RC, LLC (SWBRC)",
Texas,Star of Texas Regional Center,
Texas,"Texas Lone Star Enterprises, LLC",
Texas,Texas Urban Triangle Regional Center LLC,
Texas,USA Now Regional Center LLC,
Utah,Invest U.S. Regional Center ,
Utah,Mountain States Center for Foreign Investment (MSC) ,
Utah,Utah High Country Regional Center,
Utah,"Utah Regional Investment Fund, LLC",
Vermont,Vermont Agency of Commerce and Community Development,
Virginia,Capital Area Regional Center (CARC) ,
Virginia,DC Regional Center,
Virginia,Virginia Center for Foreign Investment and Job Creation,
Virginia,Westmill Mid-Atlantic Regional Center LLC,
Washington,Aero Space Port International Group (ASPI Group) Regional Center,
Washington,"American Life Ventures Everett, Washington",
Washington,"American Life, Inc. - Lakewood Regional Center",
Washington,American Life Inc. Regional Center - Seattle (Golden Rainbow & Gateway  Freedom Fund,
Washington,"American Life Ventures, Tacoma, Washington",
Washington,Eastern Washington Regional Center,
Washington,Farm for America Regional Center  ,
Washington,"Path America Sonoco, LLC",
Washington,Seattle Regional Center,
Washington,Twin Development LLC Regional Center,
Washington,Washington Regional Center,
Washington,Western Washington Regional Center LLC,
Washington,Whatcom Opportunities RC,
Wisconsin,Ecorntech Regional Center,
Wisconsin,Chicagoland Foreign Investment Group (CFIG) Regional Center,
Wisconsin,Intercontinental Regional Center Trust of Chicago,
Wisconsin,Metropolitan Milwaukee Association of Commerce (MMAC),
Wyoming,Invest U.S. Regional Center,
